id,item_category,amount,num_units,transaction_date
834,Art,35.216,2,7/23/2016
835,Appliances,23.696,2,7/23/2016
836,Machines,265.475,1,7/23/2016
838,Paper,9.664,2,11/4/2017
847,Phones,83.72,7,10/13/2015
848,Chairs,287.94,3,10/13/2015
853,Art,185.88,6,5/28/2016
863,Accessories,191.472,6,1/5/2016
864,Art,5.248,2,1/5/2016
865,Phones,59.184,2,1/5/2016
866,Labels,2.89,1,1/10/2014
867,Furnishings,51.94,1,1/10/2014
875,Paper,192.16,5,8/25/2017
882,Storage,30.84,2,10/9/2015
921,Storage,24.56,2,12/5/2014
928,Art,46.2,4,10/5/2015
929,Appliances,28.84,2,10/5/2015
956,Storage,173.8,5,11/30/2017
962,Binders,6.24,2,11/27/2015
964,Labels,4.608,2,9/22/2014
979,Binders,3.282,2,5/30/2016
991,Chairs,1166.92,5,3/29/2015
995,Binders,2715.93,7,5/21/2014
996,Phones,617.97,3,5/21/2014
997,Envelopes,10.67,1,10/28/2015
998,Storage,36.63,3,10/28/2015
999,Furnishings,24.1,5,10/28/2015
1000,Furnishings,33.11,7,10/28/2015
1006,Paper,115.296,3,11/13/2015
1039,Art,23.968,7,11/20/2017
1040,Art,28.728,3,11/20/2017
1047,Phones,1363.96,5,3/8/2016
1048,Furnishings,102.36,3,3/8/2016
1090,Furnishings,31.984,2,6/4/2017
1091,Phones,71.984,2,6/4/2017
1096,Storage,348.208,7,1/21/2017
1097,Binders,35.784,7,1/21/2017
1118,Paper,279.9,5,9/4/2015
1119,Accessories,619.95,5,9/4/2015
1120,Paper,4.36,2,9/4/2015
1121,Envelopes,15.28,2,9/4/2015
1122,Phones,699.93,7,1/20/2014
1123,Art,22.96,7,1/20/2014
1124,Furnishings,38.6,4,1/20/2014
1125,Art,6.63,3,1/20/2014
1126,Envelopes,23.34,3,1/20/2014
1127,Chairs,1067.94,3,1/20/2014
1130,Tables,343.92,4,4/12/2016
1131,Paper,40.99,1,4/12/2016
1132,Envelopes,63.9,5,4/12/2016
1136,Storage,85.224,3,12/11/2016
1155,Storage,122.48,2,12/20/2014
1156,Tables,2244.48,7,12/20/2014
1157,Binders,62.31,3,12/20/2014
1158,Tables,455.1,2,12/20/2014
1183,Envelopes,21.744,1,1/14/2017
1184,Phones,7.92,5,1/14/2017
1194,Paper,15.552,3,9/15/2015
1195,Furnishings,15.712,4,9/15/2015
1196,Storage,24.672,2,9/15/2015
1197,Furnishings,55.968,1,9/15/2015
1206,Phones,271.96,5,8/1/2017
1235,Furnishings,47.952,3,10/28/2016
1236,Binders,37.425,5,10/28/2016
1237,Furnishings,63.968,2,10/28/2016
1238,Furnishings,165.048,3,10/28/2016
1245,Envelopes,48.69,9,5/14/2017
1258,Binders,27.882,3,12/24/2016
1259,Storage,540.048,3,12/24/2016
1260,Accessories,255.68,8,12/24/2016
1261,Phones,863.88,3,10/23/2017
1262,Binders,17.616,4,10/28/2016
1270,Paper,12.48,2,6/4/2017
1279,Accessories,32.97,3,9/8/2014
1280,Accessories,83.88,4,9/8/2014
1282,Labels,15.12,3,4/9/2017
1283,Binders,17.43,1,4/9/2017
1284,Paper,251.64,3,4/9/2017
1301,Furnishings,572.76,6,12/23/2016
1302,Furnishings,286.38,3,12/23/2016
1303,Bookcases,61.96,2,9/19/2015
1304,Furnishings,23.99,1,7/3/2017
1305,Phones,287.97,3,7/3/2017
1319,Phones,575.92,2,7/1/2014
1320,Binders,5.184,6,7/1/2014
1323,Appliances,72.8,5,3/3/2017
1324,Paper,10.816,4,10/9/2017
1341,Machines,695.7,2,1/2/2017
1342,Binders,15.66,5,1/2/2017
1343,Binders,28.854,6,1/2/2017
1352,Storage,31.4,2,3/28/2016
1358,Paper,79.14,3,5/5/2016
1383,Storage,80.98,1,2/5/2016
1384,Paper,348.84,9,2/5/2016
1385,Fasteners,9.45,5,2/5/2016
1386,Furnishings,18.84,3,2/5/2016
1387,Bookcases,239.98,2,2/5/2016
1388,Envelopes,167.96,2,2/5/2016
1389,Phones,104.85,3,2/5/2016
1390,Phones,484.83,3,2/5/2016
1391,Paper,122.97,3,2/5/2016
1392,Storage,154.44,3,2/5/2016
1393,Paper,342.37,7,2/5/2016
1394,Art,9.552,3,7/3/2017
1401,Phones,21.8,2,11/1/2016
1402,Envelopes,251.79,3,11/1/2016
1432,Binders,152.76,6,12/19/2014
1433,Supplies,7.27,1,12/19/2014
1434,Chairs,1819.86,14,12/19/2014
1443,Paper,13.76,2,8/5/2017
1452,Paper,70.98,7,11/26/2016
1453,Binders,91.68,3,11/26/2016
1454,Binders,33.75,5,11/26/2016
1455,Machines,3040.0,8,11/26/2016
1456,Binders,91.2,3,6/12/2017
1457,Tables,452.94,3,6/12/2017
1468,Accessories,255.968,4,5/16/2015
1478,Supplies,,7,11/13/2016
1483,Art,9.728,2,8/25/2017
1484,Paper,3.424,1,8/25/2017
1495,Art,40.05,3,12/17/2014
1508,Machines,396.0,4,9/17/2016
1531,Paper,74.352,3,3/26/2015
1554,Binders,124.75,5,10/16/2017
1565,Storage,354.9,5,3/4/2014
1570,Art,12.84,3,11/26/2017
1578,Paper,4.98,1,5/23/2016
1590,Art,10.96,4,5/12/2016
1603,Art,6.672,3,12/11/2016
1628,Chairs,517.5,6,9/24/2015
1674,Labels,196.62,2,12/11/2015
1729,Accessories,100.0,4,2/7/2016
1730,Labels,7.83,3,2/7/2016
1731,Paper,96.256,8,9/28/2014
1732,Paper,10.688,2,9/28/2014
1735,Appliances,34.848,2,7/29/2017
1736,Phones,22.0,5,7/29/2017
1737,Art,4.368,3,7/29/2017
1747,Binders,11.232,8,8/13/2016
1748,Paper,10.272,3,8/13/2016
1764,Supplies,35.06,2,8/4/2016
1765,Labels,4.13,1,8/4/2016
1766,Furnishings,109.8,9,8/4/2016
1767,Labels,9.82,2,8/4/2016
1768,Binders,7.644,4,3/22/2014
1769,Binders,51.465,5,3/22/2014
1812,Tables,1441.3,7,6/9/2014
1828,Phones,1127.976,3,2/8/2016
1829,Paper,38.88,6,7/13/2015
1833,Chairs,207.0,3,11/5/2015
1837,Appliances,1245.86,7,2/19/2017
1838,Labels,17.544,3,8/1/2014
1839,Furnishings,44.128,4,8/1/2014
1840,Appliances,62.92,1,8/1/2014
1841,Paper,78.304,2,8/1/2014
1842,Chairs,140.81,1,7/18/2016
1880,Binders,68.742,9,3/28/2017
1887,Fasteners,7.104,2,5/13/2014
1888,Binders,398.352,8,5/13/2014
1893,Envelopes,7.824,1,12/22/2017
1895,Art,34.65,3,12/2/2017
1898,Envelopes,29.808,2,8/29/2014
1899,Binders,505.176,4,8/29/2014
1900,Tables,174.0585,3,8/29/2014
1901,Storage,191.88,6,6/29/2016
1907,Binders,2.952,2,5/17/2016
1908,Binders,27.018,6,5/17/2016
1914,Accessories,149.95,5,1/15/2014
1915,Labels,4.608,2,4/30/2017
1916,Art,15.528,3,4/30/2017
1917,Labels,11.952,3,4/30/2017
1933,Bookcases,145.74,3,8/6/2017
1934,Furnishings,15.4,5,8/6/2017
1976,Storage,275.97,3,10/18/2014
1977,Phones,1394.95,5,10/18/2014
1978,Chairs,545.88,6,10/18/2014
1982,Binders,3.76,2,12/14/2015
1998,Labels,15.0,4,2/6/2014
1999,Phones,161.61,1,2/6/2014
2000,Phones,144.95,5,2/6/2014
2003,Storage,95.94,3,12/25/2017
2004,Chairs,304.45,5,12/25/2017
2009,Art,4.224,3,11/15/2014
2010,Appliances,333.056,2,11/15/2014
2011,Paper,24.896,4,11/15/2014
2014,Chairs,350.98,1,9/18/2016
2015,Paper,13.08,2,9/18/2016
2016,Storage,900.08,4,9/18/2016
2095,Art,13.12,5,11/25/2015
2096,Binders,511.84,8,5/15/2016
2097,Art,91.96,4,5/15/2016
2098,Art,8.34,3,5/15/2016
2106,Paper,15.552,3,9/30/2014
2121,Binders,2.808,3,1/7/2017
2159,Art,17.856,4,10/21/2017
2187,Accessories,29.0,2,7/14/2016
2197,Art,4.704,2,12/1/2016
2198,Art,14.67,3,11/28/2014
2201,Furnishings,22.2,6,6/1/2014
2202,Phones,881.93,7,6/1/2014
2206,Art,67.56,3,9/10/2016
2218,Art,2.816,2,9/20/2014
2263,Bookcases,359.97,3,2/6/2017
2264,Accessories,499.98,2,11/14/2016
2265,Paper,5.28,1,11/14/2016
2266,Binders,8.26,2,11/14/2016
2267,Paper,7.968,2,10/12/2017
2271,Art,47.96,5,12/2/2017
2277,Storage,306.2,5,6/27/2014
2278,Tables,85.98,1,6/27/2014
2279,Accessories,223.96,4,6/27/2014
2286,Paper,14.352,3,5/5/2016
2287,Appliances,35.04,2,11/17/2017
2291,Phones,287.97,3,4/20/2015
2292,Furnishings,595.38,6,4/20/2015
2293,Paper,12.96,2,4/20/2015
2303,Accessories,316.0,4,1/17/2016
2304,Chairs,723.92,4,9/17/2017
2305,Paper,106.32,3,9/17/2017
2320,Appliances,194.32,4,12/23/2015
2322,Binders,94.74,3,12/31/2015
2323,Binders,60.64,4,12/31/2015
2324,Binders,76.3,5,12/31/2015
2325,Binders,364.8,12,12/31/2015
2335,Appliances,69.216,6,9/30/2014
2341,Art,41.86,7,11/10/2016
2364,Furnishings,127.88,2,3/13/2016
2365,Appliances,160.32,2,3/13/2016
2366,Binders,46.0,4,3/13/2016
2376,Fasteners,5.67,3,1/24/2017
2400,Storage,628.81,7,9/9/2017
2401,Storage,56.45,5,9/9/2017
2435,Envelopes,33.96,2,11/14/2015
2436,Appliances,826.11,3,11/14/2015
2440,Furnishings,7.904,2,7/17/2017
2449,Storage,269.49,3,9/14/2015
2467,Paper,9.11,1,5/4/2017
2468,Storage,571.44,4,5/4/2017
2469,Paper,32.4,5,5/4/2017
2470,Storage,16.91,1,5/4/2017
2471,Furnishings,14.272,8,1/22/2016
2472,Bookcases,451.136,4,1/22/2016
2473,Appliances,64.864,4,1/22/2016
2500,Envelopes,37.608,3,6/22/2017
2512,Accessories,106.5,6,4/18/2015
2513,Binders,45.66,5,12/2/2017
2530,Paper,10.368,2,10/24/2014
2531,Paper,114.2,5,8/17/2014
2532,Binders,17.96,4,8/17/2014
2533,Fasteners,12.67,7,8/17/2014
2534,Accessories,339.96,4,8/17/2014
2552,Furnishings,821.88,6,11/19/2017
2553,Binders,21.96,2,11/19/2017
2554,Paper,25.92,4,9/14/2016
2555,Phones,705.544,7,8/15/2016
2558,Appliances,6.992,2,3/24/2015
2562,Labels,9.216,4,12/25/2015
2563,Paper,10.368,2,12/25/2015
2566,Accessories,71.0,4,12/21/2017
2575,Envelopes,16.23,3,11/22/2014
2576,Binders,319.9,5,11/22/2014
2577,Envelopes,11.36,2,11/22/2014
2578,Appliances,675.12,3,11/22/2014
2579,Furnishings,62.82,3,1/26/2014
2580,Storage,489.92,8,1/26/2014
2581,Paper,19.44,3,1/26/2014
2582,Paper,16.68,2,1/26/2014
2583,Phones,155.35,13,1/26/2014
2584,Furnishings,12.42,3,1/26/2014
2585,Phones,187.98,2,1/26/2014
2593,Phones,79.1,2,11/24/2017
2594,Binders,327.84,8,11/24/2017
2606,Binders,1.167,1,12/16/2014
2635,Furnishings,4.928,2,7/5/2015
2636,Binders,7.23,5,7/5/2015
2642,Accessories,29.99,1,2/20/2015
2644,Phones,36.792,1,4/17/2016
2645,Furnishings,18.624,8,4/17/2016
2664,Labels,3.984,1,5/1/2016
2665,Tables,370.62,3,5/1/2016
2666,Binders,2.742,2,5/1/2016
2676,Art,8.76,5,11/27/2017
2677,Appliances,43.584,1,11/27/2017
2686,Envelopes,95.952,3,9/6/2016
2687,Binders,3.204,2,9/6/2016
2695,Furnishings,15.384,1,10/15/2014
2697,Machines,821.3,4,3/18/2014
2698,Machines,22638.48,6,3/18/2014
2699,Paper,21.376,4,3/18/2014
2700,Art,8.016,3,3/18/2014
2701,Furnishings,30.768,2,3/18/2014
2702,Fasteners,18.936,3,3/18/2014
2703,Furnishings,122.352,3,3/18/2014
2711,Binders,12.828,2,12/11/2015
2714,Phones,302.376,3,4/25/2014
2717,Accessories,71.98,2,8/26/2017
2721,Fasteners,8.376,3,11/4/2014
2722,Appliances,58.24,5,11/4/2014
2723,Storage,81.2,5,4/14/2016
2740,Supplies,477.24,4,4/16/2017
2741,Accessories,25.98,2,4/16/2017
2746,Accessories,79.992,1,8/7/2017
2749,Binders,8.226,3,12/4/2015
2759,Furnishings,76.92,4,3/11/2016
2760,Storage,481.32,4,3/11/2016
2773,Furnishings,19.104,3,12/10/2017
2779,Furnishings,23.68,8,4/30/2017
2780,Accessories,2.376,3,4/30/2017
2798,Art,13.36,4,10/20/2017
2799,Paper,39.96,2,10/20/2017
2800,Binders,145.85,5,10/20/2017
2801,Phones,783.96,5,10/25/2016
2834,Art,15.47,7,1/26/2017
2835,Binders,7.16,2,1/26/2017
2839,Machines,695.7,2,6/9/2016
2841,Chairs,1139.92,4,3/14/2014
2842,Paper,229.544,7,8/31/2017
2848,Furnishings,56.28,6,4/8/2017
2849,Binders,2690.97,3,4/8/2017
2850,Binders,7.434,6,11/28/2016
2858,Chairs,225.296,2,8/15/2016
2859,Accessories,67.8,4,5/19/2017
2860,Phones,377.97,3,5/19/2017
2861,Bookcases,1628.82,9,5/19/2017
2862,Paper,286.93,7,5/19/2017
2863,Paper,20.736,4,8/12/2017
2870,Furnishings,17.088,2,6/12/2017
2891,Chairs,51.96,2,4/29/2014
2892,Binders,17.94,3,4/29/2014
2898,Copiers,959.968,4,1/4/2016
2902,Paper,184.66,7,9/11/2017
2911,Appliances,387.136,4,11/5/2015
2927,Furnishings,18.84,3,7/10/2017
2929,Binders,1633.188,4,10/19/2017
2969,Appliances,499.584,3,11/6/2017
2970,Paper,31.104,6,11/6/2017
2971,Binders,13.272,8,11/6/2017
2972,Furnishings,28.272,2,11/6/2017
2973,Storage,259.136,4,11/6/2017
2979,Chairs,545.94,6,1/13/2014
2986,Furnishings,24.96,4,5/25/2016
2987,Paper,19.36,2,5/25/2016
2988,Storage,1267.65,9,5/25/2016
3009,Furnishings,191.82,3,12/5/2016
3029,Chairs,504.9,5,12/17/2017
3035,Accessories,53.7,6,6/11/2015
3036,Binders,36.26,7,6/11/2015
3037,Art,56.3,2,6/11/2015
3038,Paper,32.4,5,6/11/2015
3039,Furnishings,29.16,2,6/11/2015
3041,Furnishings,16.72,5,5/5/2016
3049,Tables,411.8,2,4/2/2017
3050,Accessories,360.0,4,4/2/2017
3082,Binders,58.34,2,5/27/2017
3083,Phones,539.97,3,5/27/2017
3089,Furnishings,61.0,5,3/31/2017
3090,Phones,671.93,7,3/31/2017
3119,Chairs,1123.92,5,6/11/2015
3120,Phones,249.584,2,6/11/2015
3121,Furnishings,48.672,3,6/11/2015
3122,Art,60.768,2,6/11/2015
3123,Binders,78.6,5,6/11/2015
3124,Binders,3.768,2,6/11/2015
3125,Storage,1036.624,2,6/11/2015
3126,Storage,563.808,4,6/11/2015
3159,Storage,67.64,5,3/26/2016
3160,Accessories,119.976,3,3/26/2016
3169,Chairs,390.272,8,5/28/2016
3170,Paper,62.192,13,5/28/2016
3171,Binders,23.88,6,12/21/2017
3196,Fasteners,23.34,3,8/8/2016
3199,Phones,95.968,4,12/1/2014
3242,Storage,56.45,5,2/1/2016
3257,Labels,4.608,2,8/9/2015
3258,Tables,79.974,3,12/9/2016
3259,Binders,2.946,2,12/9/2016
3265,Labels,-20.0,4,3/4/2016
3268,Phones,135.98,2,5/22/2014
3269,Phones,44.95,1,5/22/2014
3277,Art,22.96,7,4/5/2014
3278,Phones,28.99,1,4/5/2014
3279,Paper,12.96,2,4/5/2014
3280,Art,22.96,7,4/5/2014
3281,Supplies,4164.05,5,4/5/2014
3282,Accessories,47.984,2,9/17/2014
3283,Paper,4.624,1,9/17/2014
3312,Furnishings,86.45,7,3/20/2016
3320,Appliances,43.512,7,12/20/2014
3321,Chairs,662.88,3,12/20/2014
3322,Paper,25.92,5,12/20/2014
3382,Envelopes,2.896,1,8/27/2017
3386,Storage,580.672,4,10/7/2017
3387,Fasteners,18.936,3,10/7/2017
3388,Phones,222.384,2,10/7/2017
3389,Binders,50.454,6,10/7/2017
3390,Tables,154.764,3,10/7/2017
3399,Phones,36.99,1,11/21/2014
3400,Paper,629.1,6,11/21/2014
3401,Storage,193.95,3,11/21/2014
3402,Art,5.46,3,11/21/2014
3448,Art,3.76,2,6/11/2017
3453,Phones,471.92,2,3/16/2014
3454,Binders,58.72,4,3/1/2015
3455,Art,5.16,3,7/9/2015
3456,Paper,16.496,2,2/20/2016
3464,Paper,5.08,1,11/25/2016
3465,Accessories,47.992,1,12/3/2017
3469,Furnishings,133.38,6,12/14/2016
3470,Paper,47.952,3,4/6/2015
3482,Furnishings,8.96,2,4/7/2014
3483,Phones,579.95,5,8/27/2014
3484,Furnishings,29.12,4,8/27/2014
3485,Tables,1202.94,3,8/27/2014
3487,Phones,36.192,1,11/30/2016
3488,Storage,147.184,2,9/5/2017
3500,Accessories,209.97,3,9/29/2016
3501,Binders,62.94,3,9/29/2016
3502,Art,25.92,9,9/29/2016
3516,Accessories,66.3,3,12/20/2016
3517,Paper,30.816,9,8/9/2016
3518,Phones,44.784,2,8/9/2016
3519,Appliances,569.536,4,8/9/2016
3526,Accessories,599.97,3,12/10/2017
3527,Phones,38.97,3,12/10/2017
3528,Binders,45.84,8,12/10/2017
3530,Accessories,87.168,3,9/17/2015
3538,Storage,83.25,3,5/9/2014
3539,Labels,9.45,3,5/9/2014
3540,Labels,20.65,5,5/9/2014
3541,Paper,45.36,7,5/9/2014
3547,Storage,105.98,7,10/30/2017
3548,Supplies,35.06,2,10/30/2017
3549,Chairs,33.94,1,10/30/2017
3550,Labels,30.0,8,10/30/2017
3576,Paper,14.496,3,3/19/2015
3579,Storage,7.89,1,7/25/2016
3580,Paper,65.5,5,7/25/2016
3581,Tables,2430.08,8,7/25/2016
3589,Supplies,1665.62,2,12/19/2017
3590,Binders,2.88,1,11/24/2017
3591,Storage,1443.96,12,11/24/2017
3621,Art,40.776,3,9/22/2016
3622,Phones,63.936,8,9/22/2016
3623,Furnishings,142.4,5,9/14/2014
3624,Binders,7.16,2,9/14/2014
3649,Binders,2.946,2,11/22/2015
3650,Fasteners,55.104,6,11/22/2015
3656,Storage,113.568,2,4/24/2017
3658,Envelopes,8.688,3,3/12/2015
3659,Furnishings,30.88,4,3/12/2015
3660,Furnishings,6.408,3,3/12/2015
3688,Binders,2.694,2,5/20/2016
3695,Binders,232.96,7,10/15/2016
3696,Envelopes,66.54,6,10/15/2016
3697,Appliances,43.26,3,10/15/2016
3703,Art,24.78,6,6/13/2015
3704,Binders,19.14,3,6/13/2015
3705,Copiers,899.97,3,6/13/2015
3706,Paper,32.4,5,6/13/2015
3718,Supplies,5.04,2,9/19/2016
3719,Accessories,249.95,5,9/19/2016
3721,Furnishings,18.92,4,12/20/2016
3722,Binders,15.42,2,12/20/2016
3745,Fasteners,11.85,3,10/24/2014
3746,Storage,118.25,5,9/23/2016
3747,Chairs,368.97,3,9/23/2016
3769,Chairs,1013.832,9,12/16/2014
3770,Fasteners,1.984,2,12/16/2014
3773,Accessories,62.91,3,8/6/2014
3774,Fasteners,6.912,3,4/11/2014
3775,Accessories,383.976,3,4/11/2014
3776,Paper,10.368,2,4/11/2014
3777,Accessories,335.944,7,4/11/2014
3779,Phones,71.976,3,11/30/2017
3783,Paper,8.904,3,11/13/2017
3784,Storage,720.064,4,11/13/2017
3785,Accessories,41.424,2,7/31/2017
3798,Paper,251.64,3,9/23/2017
3799,Tables,523.764,3,11/4/2017
3800,Phones,1359.96,5,11/4/2017
3801,Chairs,102.592,1,10/14/2016
3802,Accessories,22.704,1,10/14/2016
3803,Paper,93.024,3,10/14/2016
3804,Supplies,,2,10/14/2016
3805,Envelopes,35.008,4,10/14/2016
3806,Paper,39.152,1,10/14/2016
3807,Art,11.76,5,11/12/2015
3808,Binders,5.238,2,11/12/2015
3809,Binders,4.662,3,11/12/2015
3810,Chairs,523.92,5,11/12/2015
3811,Phones,100.792,1,11/12/2015
3812,Chairs,146.136,3,11/12/2015
3815,Phones,823.96,5,7/8/2016
3816,Paper,15.984,2,7/8/2016
3817,Tables,801.96,2,9/15/2015
3818,Phones,59.97,3,9/15/2015
3819,Chairs,1056.86,7,9/15/2015
3842,Chairs,170.352,3,6/8/2014
3849,Binders,691.96,4,9/22/2017
3850,Accessories,34.95,5,9/22/2017
3874,Envelopes,23.472,3,9/5/2016
3875,Binders,86.058,7,9/5/2016
3876,Phones,108.784,2,9/5/2016
3877,Paper,10.272,3,9/5/2016
3878,Binders,38.19,5,10/28/2016
3885,Art,4.368,3,7/5/2014
3888,Art,8.56,2,6/2/2014
3889,Phones,239.97,3,6/2/2014
3890,Storage,356.94,2,6/2/2014
3896,Accessories,48.9,5,5/1/2017
3920,Storage,61.68,4,12/1/2015
3921,Binders,63.96,4,12/1/2015
3943,Paper,25.92,5,5/27/2017
3946,Paper,44.384,1,11/18/2017
3947,Supplies,2.944,1,11/18/2017
3958,Binders,11.277,3,5/29/2016
3959,Art,4.448,2,5/29/2016
3960,Furnishings,44.76,3,5/29/2016
3966,Art,7.872,3,11/12/2014
3977,Furnishings,39.92,4,10/22/2016
3989,Furnishings,79.12,5,4/17/2016
3992,Furnishings,63.552,3,5/1/2015
3993,Supplies,41.376,3,5/1/2015
3994,Art,172.704,6,5/1/2015
4000,Bookcases,231.92,5,7/17/2015
4006,Art,1.78,1,12/10/2015
4007,Paper,25.92,4,12/10/2015
4008,Accessories,101.94,6,12/10/2015
4014,Appliances,542.94,3,8/23/2015
4015,Labels,8.64,3,8/23/2015
4016,Paper,193.8,5,8/23/2015
4017,Paper,21.4,5,8/23/2015
4018,Paper,97.88,2,8/23/2015
4019,Accessories,251.91,9,8/23/2015
4020,Appliances,25.86,3,8/23/2015
4030,Machines,479.97,3,12/24/2017
4031,Chairs,232.88,4,12/24/2017
4064,Art,20.016,9,6/23/2014
4065,Supplies,3.104,1,6/23/2014
4066,Fasteners,7.52,5,11/1/2014
4067,Art,10.272,3,11/1/2014
4068,Labels,47.808,12,11/1/2014
4069,Phones,978.84,9,11/1/2014
4075,Furnishings,220.064,4,11/15/2017
4076,Furnishings,339.136,4,11/15/2017
4080,Phones,47.976,3,12/21/2015
4089,Bookcases,638.82,9,8/19/2014
4094,Machines,3080.0,7,8/24/2015
4095,Accessories,79.96,4,8/24/2015
4096,Phones,587.97,3,8/24/2015
4126,Furnishings,91.032,3,7/27/2017
4127,Art,54.66,6,5/6/2017
4128,Storage,67.344,6,9/19/2014
4129,Machines,2624.985,3,9/19/2014
4132,Paper,11.952,3,7/2/2015
4133,Paper,15.552,3,7/2/2015
4134,Fasteners,45.0,9,9/8/2014
4135,Machines,209.97,3,9/8/2014
4138,Fasteners,25.06,7,11/19/2017
4155,Binders,38.088,4,12/29/2016
4156,Binders,2.808,3,12/29/2016
4160,Art,12.84,3,4/16/2016
4173,Binders,14.2,2,7/1/2016
4174,Paper,12.96,2,7/1/2016
4175,Binders,58.34,2,7/1/2016
4177,Phones,629.95,5,4/7/2014
4178,Paper,122.97,3,4/7/2014
4212,Paper,9.42,3,5/5/2014
4213,Art,6.56,2,5/5/2014
4214,Paper,24.56,2,5/5/2014
4243,Phones,149.97,3,4/4/2016
4244,Paper,27.81,3,4/4/2016
4252,Phones,55.944,7,10/23/2015
4253,Art,10.688,2,10/23/2015
