subcategory,internal_code,sales_amount,record_id,processed_by,shipping_comment,customer_notes
 Labels ,6548, $74.00 ,6464,Jeffrey,Maintain tonight new act.,Over bad indicate economy attack question yes determine.
 Accessories,2116,41.60,2728,Melanie,Other protect note far.,According yeah step article.
Binders,8405,USD 29.20,3289,Gregory,Role plan agent hospital again.,List forget final out.
Storage ,6780,892.35,8055,Phillip,True establish space customer.,Piece inside PM board.
 Phones,8139,151.19,5366,Bryce,Explain fund own toward.,Large week alone perform example term talk kid.
 Storage,8845, $29.74 ,8374,Kenneth,Federal purpose bad allow store.,Stay material from say senior.
 Tables,2215,USD 262.11,1832,Travis,Affect break laugh plant.,Brother difference court whatever.
art,7623,181.35,3318,Stephanie,Dream here trial.,Partner offer report control.
Storage,6430, $25.98 ,4395,Colin,Ok authority alone use those rule.,Care she manage look form.
Tables,4114,error,4193,Catherine,Discuss remember economy both.,Nice local teacher.
Envelopes,7800, $64.02 ,9677,Mary,Water although size activity.,Capital establish draw cold realize tonight instead.
 Binders,7937,19.30,6611,Zoe,Economy action through at.,Miss provide plant fine upon prepare.
TABLES,3937,366.01,8396,Eric,Blue something professional instead.,Under worker great most Mr center scientist.
 Accessories ,9791, 60.864 ,2628,George,Type position room window.,Trial teach right growth floor sign.
BOOKCASES,1336, $84.98 ,737,Tracy,Structure plan speech court own.,Hotel recently fast in run.
Storage ,5167,USD 772.68,6160,Joshua,Board if character return end.,Suffer certainly candidate game we Democrat.
 Tables ,7045, 1298.55 ,811,Karen,Movie wonder management fact.,Hot throw information much evening success process.
appliances,4812,USD 3.55,8704,Richard,List you true activity.,Floor expect player language.
 Art ,6848, $6.63 ,1125,Deborah,Even tell Democrat base red.,Off tend personal few pick rich.
accessories,3231, 114.52 ,6472,Jennifer,Which social forward free produce.,Tree whatever step conference only cup federal.
 Art ,5170,86.35,1278,Gary,Song happy quite. Room act feel hit.,Treat how head toward fly seven.
 Appliances,9184,USD 14.02,5094,Christine,Positive other several throw party.,Three discuss short decade.
BINDERS,4425,USD 8.57,918,Jared,Mind fine establish ready.,Result less professor threat.
Accessories ,1570, $13.98 ,6247,Brandy,Me per skill cost box others.,Eight growth job race.
BINDERS,3852,11.22,2630,Nicole,Role under laugh miss deal position.,Left service order.
Storage ,9140,USD 23.95,1577,Brian,Policy control and find computer baby.,Radio life network of single base lead.
Chairs ,7068, 197.372 ,3939,David,Together theory tell and.,See present someone control develop single though.
 Chairs,5543, 658.746 ,4735,Vanessa,Difficult ground run miss surface few.,Hard yourself onto chance.
PHONES,2800,71.98,3779,Craig,Staff job get me matter long.,Current miss hand maintain.
 Paper,1641, 47.88 ,247,Diana,Father story leg less.,Instead cost per foot four bad.
Paper ,2898, $35.44 ,8597,James,Listen executive lawyer wrong weight.,Range sit democratic.
 Storage,4187,32.48,6826,Anthony,Discuss change build.,Take parent pattern to value yourself skin.
Furnishings ,5242,USD 29.46,9021,Tara,Customer time wear stuff specific.,Site wish let source wonder.
 Furnishings,6484,25.40,5936,Kenneth,You dog water prove.,Tax effect concern total nearly yourself visit property.
PAPER,3274,USD 27.15,408,Katelyn,Main last term across support goal.,Theory never including win.
Storage ,3695, 900.08 ,3505,Laura,Task once nature ask to poor.,Wide his bring prove according city.
Chairs ,8358,29.98,5831,Mary,Remain enough scientist image deal.,Base go between south consumer fly.
Binders ,1770,USD 32.54,8547,Austin,Whom movement hot term second.,Land others rich woman lawyer a difficult.
 Tables ,6579, $71.09 ,9938,David,Measure two space bank send often.,Fish whether partner reach friend age idea.
binders,2423,61.78,2215,Samuel,Machine build what bag.,Article design direction author forward whether threat.
FURNISHINGS,9403,25.47,953,Michael,Huge language lose.,Step vote police you call lead capital.
PAPER,4837, 17.94 ,7119,Joshua,Present rock go person thousand.,Hundred or buy stage.
 Accessories ,1719,527.92,5935,John,Else follow both page.,Management believe reality radio.
MACHINES,3710,11.56,8669,Suzanne,Arm fight even indicate vote as old.,Threat yourself number.
ACCESSORIES,3118,35.02,1975,Gail,Listen help yes game.,Care range about blood agreement.
Chairs ,1723, $883.84 ,6709,Steven,Yes increase hit we.,Too major environmental another summer generation red individual.
 Bookcases ,1197,323.14,907,Frank,Least agency health right.,Nearly make within boy.
 Binders,6365,11.78,6098,Bryan,Surface visit range matter technology.,Trip network certainly ahead politics.
STORAGE,4492,USD 404.90,4098,Brandi,Product design because.,Present far they seem reveal action manager forward.
 Art ,7837,3.76,1182,Brandy,Try before sure degree.,Short believe interesting.
Fasteners,6546, $22.55 ,8794,Mia,Exactly option house prove listen to.,Light store that technology nor physical.
 Binders ,2623,USD 101.84,2763,Courtney,Often shake step rich.,Often tough moment agency occur.
Envelopes ,1883,USD 43.70,2949,Lauren,Financial use in how.,Practice democratic area billion statement put.
Accessories ,1075,USD 209.94,8857,Kevin,Tv industry send conference.,Clearly data beat degree.
 Accessories ,4705,USD 447.93,1167,Pamela,Sign small thousand thank seven deal.,Third design both information.
 Binders ,2251,USD 67.19,7121,Lisa,Computer wide fall film.,Hundred audience line wonder cultural.
 Chairs,8558, $218.38 ,8346,Jodi,Generation it join.,Last hope without kind cell.
phones,2517," $1,295.84 ",2114,Yesenia,Defense list Republican others year.,Consumer tax similar hundred.
FASTENERS,4947, $4.96 ,7498,David,Use blue keep history beautiful.,Can thing support.
Phones ,6032,59.18,865,Ryan,Camera perform lot position.,Sit something big wife reason thing so.
 Storage ,2577,,2819,Amy,Training medical skin.,Cost whom perhaps much manager task.
Chairs,6561,USD 1408.10,3427,Theresa,Common range act happen.,Maintain include candidate indicate investment each everyone.
 Labels ,1617,USD 100.24,6473,Mary,Budget interest spend hear.,Away everybody company those let until.
BINDERS,2819, $841.57 ,6169,Stephen,Our across less about.,Quickly serious prove south land very.
Chairs,3051,missing,5158,Ashley,Sense child trouble party partner.,Stand tonight contain without candidate.
 Chairs,6247, $561.57 ,2810,Sharon,House law west however agreement fine.,Others daughter picture recent treat bar character.
paper,5868, $70.08 ,2346,Roberta,Build model sign drive dog.,Value economic purpose important mention whether.
storage,6498, $11.21 ,1207,Angela,Side especially community.,Teach true behavior where something total spring seven.
Paper,7366, $19.01 ,3837,Jonathan,Health staff have end.,North once enjoy question.
Chairs ,3902, $512.36 ,8314,Gary,Board beyond detail too.,Choose order recently instead some decade.
Supplies ,5370,27.36,8367,Marisa,Newspaper scientist if own.,Center talk prepare another should than property.
Machines ,2726,USD 506.28,6042,Heather,Speak foot across.,Within anyone way trial exactly environmental.
 Labels ,3428,USD 10.08,3265,Harold,Hot claim card.,Bad financial someone society.
 Furnishings ,9737,6.10,2613,Matthew,Food true mother away raise name.,Left top both view candidate.
Paper,8605,15.55,936,Katherine,Writer need window mission.,Mrs guy book chair happy maybe start.
 Accessories,4427, 22.96 ,9112,Gabriel,So today news seek.,Thought stop claim station career media learn seek.
binders,6608,55.01,7034,Kelsey,Professional often design hair.,Even least thank support race degree dream top.
 Phones ,6868,USD 246.17,9089,Sara,Voice current hour.,Add class car police much raise method many.
TABLES,7628,,9041,Jonathan,Describe could factor east.,Gun physical industry.
Phones,2268,USD -45,6228,Ashley,Career eat seven.,Yes within out wear analysis investment sell.
binders,6680, 9.552 ,5287,Shannon,Once travel analysis strategy point.,Enough seat employee pretty home protect claim.
 Art,3082,error,7314,Casey,Expect far let sense design democratic.,West notice look fish.
accessories,3522, $299.97 ,5950,Lindsey,Son compare cut no.,Change ready maybe.
 Paper,2094,14.94,4931,Angela,Majority thought do then.,Experience good throw so price.
paper,6886,36.29,9434,Timothy,Fill respond development.,Read be everything seven or.
 Furnishings ,5172,USD 25.47,953,Ashley,Letter Mrs ever true move big officer.,Laugh manage return special others former indicate.
labels,4027, $28.91 ,1477,Nicholas,Individual mind great these thing.,Speech partner present end.
 Paper,5220, 11.648 ,5657,Jacob,Dinner same happy former.,Pass collection training make.
PAPER,1219,-,1801,Alan,Summer check two.,Air red break.
 Envelopes,1099, 182.94 ,6857,Laura,Talk night word spend.,Spring head item much.
accessories,6830, $89.97 ,9078,Melissa,Which ok church marriage.,Fly to tree prove let drug.
appliances,1990,USD 33.62,6562,Mary,Pm half smile test forward wind clear.,Consumer share TV class population federal record central.
TABLES,7311, 1335.68 ,2368,Rachel,Sister up news nation employee cover.,Treat general eight.
Furnishings,8581,18.84,2927,John,Pattern anyone market drive allow kind.,News technology rule help theory security.
 Accessories ,2020,USD 263.88,1438,Michael,Without about bank speak simple.,Grow music or avoid.
FASTENERS,4048,18.24,6213,James,Room little accept have.,Join say much.
art,9905,4.66,2879,David,Instead hundred already PM quite.,Begin reality image economy simple nice.
Envelopes,5584,114.85,5481,Daisy,Leg natural no stand report.,Maybe nation maintain thing.
Paper,1853, 248.08 ,2938,Justin,Phone some suggest son audience sit.,Church behavior establish mouth them vote movie.
Phones ,8462, $119.96 ,3768,Carla,Stage small area possible on bag.,Issue main also one Mrs.
BOOKCASES,4534, $205.33 ,469,Steve,Statement fine lead industry.,Manage measure land.
 Paper ,9649, 123.92 ,2194,Pamela,Approach better school best cup enough.,Himself them see occur.
Tables ,8402,USD 727.45,1276,Patrick,Sport way three moment.,Let industry yard positive center.
tables,4463,USD 386.91,6660,Ariana,Pick true such agent before factor.,Piece eat determine through fly performance drug.
 Binders,8920,USD 11.52,2250,Travis,Sing prevent detail others.,Want individual bad line.
Fasteners ,5164,USD 18.37,8673,Jason,Each relationship night network.,Along sell opportunity national without phone.
Binders ,7053,USD 26.03,4124,Ryan,Attack recently any available yet.,Serve for difficult cup she boy present speech.
Binders ,5780,-50,4289,Riley,Over every but catch plant do take.,Push father eye land quite factor common.
 Accessories ,4351,missing,7709,Carol,Small cup really successful.,Father dog guess wonder important cold technology.
BINDERS,3198, $25.30 ,4280,William,Great page clear.,Degree little hundred accept big same.
furnishings,7227,30.36,5138,Anne,Thing her let describe ask allow.,Cover source pass thus stay argue.
Binders ,5139,64.20,8355,Jennifer,Street head bar approach station score.,Anyone value still risk large rock.
Binders ,3519,,6148,Ernest,Discuss buy himself effect.,Wide go data support.
ART,5420,23.10,862,Shane,Certainly teach explain lot.,Seven three make concern may condition thousand.
Labels,9868,7.38,9587,Lisa,Rate that main amount.,Make however artist piece.
 Labels ,7530,74.00,6464,Danielle,Nearly listen inside high yes black.,Care receive sign win toward season win.
appliances,9063, 41.91 ,8038,Taylor,Risk college might campaign fish.,Yeah Mrs management mission well lawyer person.
Binders,4044,6.33,6194,Steven,Trade whose those ever risk sign first.,Else because north nation cell card.
 Paper,9870,INVALID,5172,Logan,Leg such sister.,Better five attack bed for.
 Paper,7961, 17.94 ,5478,Margaret,High that call too yard game.,Real reach economy.
Furnishings,6894,14.80,649,Paul,Once six determine reduce.,Treat across owner surface agree.
Storage,3515,229.94,6389,Jonathan,Him cup positive finish.,When he country start.
Tables ,2185, 674.352 ,7191,Chad,Knowledge away child science.,Technology edge training him citizen.
Chairs,2901, 909.72 ,6242,Jennifer,Big until into finally.,Wind office dog choose myself fly.
Art ,8297,286.79,3463,Thomas,Clear process worry street enough.,Plan turn per cold head economy.
 Fasteners ,1617,5.94,8492,Joseph,Capital including home food.,Section must notice employee early.
appliances,8029, $125.13 ,9133,Samantha,Left action defense answer.,Test laugh born successful become.
 Bookcases ,3296,USD 482.66,4218,Jose,Hit by partner color sense bag hard.,Them owner material.
Phones,2065,197.97,1030,Julie,Allow especially letter.,Behavior floor past speech light nice.
Art ,5316, $16.40 ,2289,Martin,Every at herself amount word leader.,Sign top its shoulder hair system idea.
Accessories ,9376,79.78,6642,Michael,Rate prepare note I little understand.,Feeling best court.
ENVELOPES,4561,12.77,3226,John,Expert me democratic actually.,Voice while realize move.
Tables,3232,710.83,9918,James,Produce quickly church politics skin.,Lawyer similar if.
 Binders ,6562,USD 57.50,2043,Richard,Page guy difference lead parent.,Break join agent condition coach everybody college.
 Art,9082,USD 10.50,9972,Benjamin,Recent best car federal PM build.,Kind describe age quickly someone.
art,8272,USD 8.93,2823,John,In hot boy top yet individual.,Picture news month line huge and write.
 Paper ,4334, 109.92 ,3975,Robert,Tell know our plant bill finally.,You job resource only.
 Chairs ,6203,USD -45,2276,Joan,Less recognize capital ball no company.,Condition idea water administration real few she.
 Appliances,4597,254.90,3181,Christopher,Respond probably board or.,Year day form place sport.
 Binders ,8485,36.56,7596,Ruth,Exist edge build majority.,Moment garden open among sea mean read.
APPLIANCES,7405,USD 60.81,2191,Barry,Course dark yet morning.,Property ahead couple clearly.
SUPPLIES,3013,11.63,599,Dawn,Central stand rest none.,Cover support foot film check.
Paper,8339, $72.22 ,9283,Joshua,Then million employee friend story.,Mention this shoulder social.
Appliances,9337,USD 243.88,3010,Jessica,Thought lose laugh take card.,Carry simply realize run father walk.
 Binders ,3942, 2.202 ,5792,Barbara,Me this little. Plan hope whom admit.,Interesting view market may several child be.
Furnishings ,5886,USD 63.68,2185,Jeffrey,Pattern expect town contain under.,Whether start least thought indicate.
Accessories,5633, $32.97 ,1279,Kimberly,Past positive up lose.,Wall speech address wall quite million each.
 Labels ,3194,18.75,9341,Mike,Current option no.,It new race.
Art,7514,-10,8284,Brandon,Fire for executive name girl.,Cup car too happen wonder information politics affect.
Binders,9626,17.22,7083,Shane,Yeah argue much end.,Art wrong remain debate city marriage.
Binders ,9263,2.29,3308,Scott,Loss budget little care.,Green order heart third.
Accessories ,4531, 58.58 ,1672,Michael,Population high study full any system.,Perform game fine fast season mean.
Storage,6663, 59.92 ,4883,Rachel,Owner five detail total you.,Affect key even tonight everybody determine.
Art,4045, 5.58 ,3627,Stephanie,Whatever plan list allow.,Or certain certain assume among.
 Binders,5342,146.69,9311,Mary,Forget mention agreement kitchen.,Young financial public.
 Binders ,8831,"1,369.76",8209,Jill,Us street dark.,Board single probably will owner.
FURNISHINGS,9508,91.03,4126,Zachary,Training suffer white site.,Plant collection perhaps itself.
Paper ,5315, 11.36 ,4281,Joseph,Bank could plant enjoy.,Government increase skill final fill wide.
