sub_category,shipping_comment,txn_id,sales_amount,customer_notes,internal_code,processed_by
Phones ,Long ability drug more will.,6360,86.35,Model administration once politics event within media.,9308,Donna
Paper,Enjoy road state bank.,3108,USD 21.93,Field yet then also human thank.,8585,Angela
SUPPLIES,Person beat treatment quality meet.,3532, $54.90 ,Lead difficult customer system score painting which.,2655,Lauren
ART,Color pull between time common usually.,5599,USD 10.71,Here pull your like.,5337,Melissa
Tables ,Remain out crime civil fight risk.,6134, $161.28 ,May black need life dream like.,1182,Melissa
 Phones,Quality mission which week form in.,6840,371.20,Attack develop system these sense.,1580,Kenneth
Paper ,Talk plant attorney always.,1778,368.91,Believe defense provide democratic region organization parent occur.,5811,Tammy
 Art,Community girl technology.,7127,13.89,Miss far walk admit admit garden least.,1855,Linda
phones,Media statement effect summer.,7620,-,Movement cold help like.,7352,Shari
COPIERS,Listen news me.,8179,USD -45,Culture miss white center make arrive.,5216,Christopher
Paper,Husband week turn by.,9119, $21.70 ,Usually become service half.,4411,Sarah
PAPER,Fall father energy paper increase.,3470,38.43,Require size still model discuss clearly.,6392,Bailey
chairs,Way know however. Really easy could.,5780,112.65,Worker clearly technology thing arrive entire customer.,6952,Charles
envelopes,Apply at key also official beautiful.,5210,USD 27.18,Actually along clearly single yet culture somebody author.,6419,Judy
 Storage,Guess address itself your crime.,1079,USD 31.44,Quite bed wait involve notice.,5449,David
CHAIRS,Minute and myself age only safe.,7649,1352.03,Growth painting arm various.,6408,Ashley
Art ,Third national compare air show she.,7663,99.20,Main us movement would bring PM attack.,7172,Brooke
Storage ,Provide all organization operation.,5152, $39.90 ,Something area feeling important light high every.,3285,Cathy
Envelopes,Involve amount seven agent.,4896,USD 61.96,Gun large during every economy class.,1305,Katrina
Art,Consumer past seem think audience.,5108,42.05,Indeed consumer design me number official.,1407,Stephanie
Storage ,From group fast.,5805, $61.79 ,Writer guess second alone wear television.,2855,Sheena
paper,Easy foreign perform.,2267, 7.968 ,Size edge through strong.,4875,Tammy
 Binders ,Beyond color such few member top.,2585, 43.188 ,Hear against science represent friend.,6729,Paula
 Furnishings ,Record western once through model.,1239, $12.35 ,Pick there provide TV cover.,5164,Christina
BOOKCASES,Surface help physical meeting.,4390,183.97,Meet explain executive yet.,1210,Julie
PHONES,Fill player analysis lot.,8860,35.96,Week camera political well drug.,7894,Gary
storage,Natural could sea only low ball child.,2401,56.45,Rise scene quite cover recently.,1229,Linda
Binders ,Your your party worry leg miss.,7843, 58.05 ,Day must situation president young people us.,5582,Victor
Furnishings ,Popular south new while share.,7470,14.56,Follow term price.,9120,William
 Paper ,Pick risk time special.,702, 6.48 ,Early race attorney before.,5780,Taylor
phones,Camera note with ever.,755,USD -45,Set whether exist act key.,7929,Megan
BINDERS,Old tough pass level owner it.,7506,12.18,Upon scientist physical alone candidate up nation.,8966,Haley
Phones,Sure bed something key these.,8464,302.38,Current early president that.,7106,Mark
Appliances,Hard news rise anyone.,8866,36.27,Guy allow wait interesting bank fine red officer.,4437,Kevin
 Bookcases,Head read manage rock.,8056,USD 307.67,Against at grow including school.,8352,Joshua
Art,Foreign research represent world.,8676,28.03,Letter number play Mr marriage.,2189,Kelly
 Phones ,From cold purpose air claim something.,2298,INVALID,Detail best later baby.,3079,Karen
APPLIANCES,Minute site administration sure.,2315,416.32,Order education happen response trouble.,6858,Sandra
BOOKCASES,Become of while attorney reduce.,8425," $2,154.90 ",Young new point reach pattern.,4074,Jennifer
Bookcases,Past so whom. Down name no.,5919,USD 2003.92,Contain with happy stock term worry.,6910,Mark
 Storage ,Step theory painting.,2368,"1,117.92",Different full degree artist.,3415,Lindsay
Storage,Feeling policy sort test plan have.,2422, $230.38 ,Because important bit others tough sing.,3703,Ronald
fasteners,Religious generation test.,3978, $8.94 ,Risk physical long theory recognize like begin they.,2568,Misty
supplies,Value use bank before good.,2601,INVALID,Such billion final such.,7701,Katherine
 Binders,Skill tell those nature.,3521, 12.832 ,Send particular consumer oil.,5144,Nicole
 Storage ,Small manage analysis.,7367,32.54,Or meet first under.,5987,Sandra
 Storage,Air half read put local city past.,905,64.96,Bed notice cover send ever find.,5431,Brandon
 Accessories ,Computer stock central person physical.,5345,31.95,Across down usually newspaper build.,2266,Anna
STORAGE,He move group control.,7466,261.74,Happen major truth.,3661,Stacy
Furnishings,Stop three see girl.,7755,15.17,Actually as PM office.,4448,Michael
 Supplies ,Guy but improve scene others brother.,3991,286.34,Wife range bring gas.,5384,Brooke
Chairs ,Must rock drug special.,5291,966.70,Level building sort price able.,7371,Pamela
envelopes,Decide government technology.,9875,63.97,Director discuss expert something city family spring.,3208,Nicole
 Furnishings ,Prove along key.,3852,85.30,Remember customer to common activity record rate necessary.,6658,Stacey
tables,Should source key on actually.,9237, 568.728 ,Day character until current.,3379,Sarah
 Phones ,Edge issue citizen become.,1809,69.93,South no professional call special.,5258,Audrey
Phones ,Per act because amount adult attorney.,8304, $73.58 ,Many author eat nature support million best.,8963,Travis
paper,Threat my support including late ten.,1172, 32.4 ,Move big audience information.,7536,Dylan
 Appliances,Respond truth table baby.,288, $194.53 ,Dinner head measure because race reflect.,8167,Andrew
 Chairs,Popular body clear behavior white.,540,,Four our product attack.,9556,Laura
 Binders,Visit glass speech take.,7894,USD 13.92,Think police expert when a.,9324,Sandy
 Chairs,Five on anyone.,1434,USD 1819.86,Notice oil reach gun red Democrat drop.,7485,Joshua
 Chairs,Subject environment either.,9262, $215.98 ,Nation though history account year particularly central various.,5427,Carol
 Accessories,Attack throughout church.,4767,USD 113.52,Become explain question beat who brother citizen.,9022,Scott
 Accessories ,Or prove hear.,484, 159.98 ,Include better church also knowledge.,4349,Tracy
 Appliances ,View up never surface meeting.,1735,34.85,The economy require former career prove prove hit.,6883,Jason
PAPER,Capital few husband well.,7557, 158.28 ,If off happy financial stop.,2130,Thomas
ENVELOPES,Easy expect main pattern name.,6658,USD 10.64,Plant American see.,8931,Anthony
Paper,Institution face fly cell sell.,9539,16.90,Most including cost today foot city may.,9908,Lucas
BINDERS,Century dark company energy.,3091, $447.86 ,Weight may bank ago school provide.,7625,Melissa
ACCESSORIES,Expect process model military computer.,2534, $339.96 ,System color building.,9644,Laura
STORAGE,Member new street late.,7373, $61.02 ,Painting choose spend close machine.,8182,Jessica
 Furnishings ,Add former particularly agency.,4075, 220.064 ,Often chance week Democrat experience smile statement.,6924,Laura
 Phones ,Seek again perhaps yard cut.,2126,USD 62.96,Coach station degree system.,1658,Jack
 Labels,Everybody these society story strategy.,6637,122.12,Happy worry can resource bad at.,7750,David
 Paper ,Effort newspaper herself outside.,1852,-999,Everything several pay war.,1274,Cathy
ART,Area or family. Toward teach cultural.,9310,25.44,Fall few road have.,5070,Kelly
chairs,Person lead skin sound customer.,9413,2803.92,Present allow by participant.,2025,Phillip
 Storage,Big produce more but.,6685,USD 180.02,Responsibility like relate anyone by.,3484,Veronica
PAPER,Season describe crime it.,7604,12.96,Officer nature I popular.,6658,Jacqueline
bookcases,Wife kind wait.,8632, $177.45 ,Artist growth American focus debate group yourself government.,1693,Aaron
furnishings,Until see glass.,7886, 23.376 ,Whether these radio claim tell task social.,4595,Alvin
Binders ,Really tonight section eight.,9293, 0.556 ,Will standard game onto only article.,3368,Dennis
STORAGE,Agree Mrs early hit.,9731, 807.75 ,Weight think cell finish.,7958,Michael
Appliances,Southern small much simple.,5808,USD 87.17,Success pull bad guess management she.,1510,Misty
Appliances,Really him whether letter table area.,1819, 75.6 ,Head long rather onto likely.,5475,Kristin
Chairs ,Short PM economy week then attention.,9000,458.43,Heavy admit cultural beyond vote.,3294,Michelle
 Art,Good thousand official buy.,626,161.82,Happy until form manage.,4916,Heather
Accessories ,Company recent audience.,2417,595.00,Future market three various that.,4389,Lori
Accessories,Car capital same.,6745,missing,Speak test wrong into.,4928,Ronald
 Binders ,Parent main want money mean.,4837,19.94,Ahead nation fine expert focus miss.,7705,Christopher
Fasteners ,Listen face care teach.,2145,16.69,Share area church human.,7520,Alexis
Art,Western skill turn relate ok.,9400, $14.11 ,Manage coach firm form.,6030,Gregory
Phones,Instead beyond property teach many.,3240, 122.92 ,Church fund hit national I surface.,1440,Joan
Phones,Continue game especially trip.,6268,USD 311.98,Above speech clear occur something defense near.,7982,Robert
Binders,Positive second mean sense east.,9436,USD 487.98,Nation size board range fear cell.,1848,Eric
Furnishings,End might picture live.,1362, $67.96 ,Mind artist government.,5527,Alexandria
Accessories,Person safe action from.,5857, 100.8 ,Direction sit family focus back.,3416,Lisa
accessories,Federal strategy pay.,5037, 33.9 ,Thought skill media kid.,7048,Kelly
Phones ,Cause four outside serious again cover.,9301,USD 311.98,Might phone trouble traditional great.,6248,Vanessa
Phones ,After at majority finally beat.,2549,USD 1879.96,Prepare break lawyer.,5577,Robert
Accessories,Hope to factor huge why top bill.,7560, 0.99 ,Customer quickly time not ahead.,4636,Zachary
 Furnishings ,Still actually I address discuss.,1238,USD 165.05,Toward wide experience hit this else.,9354,Reginald
phones,Follow music send machine for.,3066,-,Movie spend or capital federal Mrs financial.,8583,Christine
 Paper,Record usually sell boy station.,875, 192.16 ,Ago manager quite word chair hope.,8257,Michael
Binders,Wait car again visit effect.,591,USD 16.82,What director each south training fact better.,8265,Amanda
Envelopes,Enjoy ok his.,1402,251.79,Speech authority join school listen.,2414,Jennifer
Phones ,Glass front spring.,1019,124.95,Fill boy perhaps project nearly foreign heart.,7800,John
Phones,College tough nature sense.,6866, 91.96 ,Food might feeling often small light.,6557,Timothy
Phones ,American human not.,1163,USD 9.99,Town expert country experience off open.,8359,Jerry
 Art,Almost build change toward face.,8813, $13.90 ,Less answer Democrat through.,5331,Brian
 Art ,Economy money us Democrat hit fast.,19, $8.56 ,Traditional nor tonight part issue western.,7637,Dylan
CHAIRS,Stand past hotel language.,881," $1,242.90 ",Class type instead century community yourself.,4256,Peter
Paper ,Choose part plan central Republican.,8306, 32.4 ,Right area oil company.,5114,Brandon
 Paper,Start edge outside dream several along.,5988,245.94,Focus foreign response example behavior.,3781,Maria
 Tables,Fall account already tree.,4193, $696.42 ,Line beat business none ago sound adult.,3443,Sheila
Labels,Push form arrive call lead some put.,1312, $3.69 ,Turn style professor personal put develop often early.,1515,Robin
Chairs,No together reach system show.,6203,563.92,Consumer rather gun well example major treat.,9183,Brad
appliances,Wall difference school kind two spend.,3181, 254.9 ,Improve support finally these could total.,4851,Donna
Paper,Which kid present remember rest.,9993,USD 29.60,Build dream lose these organization though.,7259,James
Paper,Friend decade other occur.,6014,14.90,Decide development notice process inside act check.,8516,Nicole
Storage ,Coach assume painting sit.,3230,375.34,Student owner these.,5399,Ashley
Binders ,Yet scientist police. Close money push.,9124, 78.759 ,Study social tonight culture prepare sound.,8837,Garrett
TABLES,Into bank health most pressure.,6632," $1,747.25 ",Among very room mention.,2671,Scott
STORAGE,Can stage century market day.,8201, 72.784 ,Building hope owner.,1399,Timothy
paper,I activity full kitchen price accept.,7216,25.92,Exist position machine at teach life catch.,1053,Barbara
LABELS,List couple Mrs sit indicate.,8905,USD 30.53,Song hundred support road.,5661,Janet
 Copiers,Rate education trouble.,6902," $2,399.96 ",Business necessary skin later.,2002,Edward
 Furnishings,Anyone that name forward approach lay.,4631,17.14,Amount identify bag keep.,8402,Andrea
Copiers ,Green shake book marriage marriage.,8124, 1079.976 ,Night line middle.,1642,Michael
Bookcases,Away third long wall forget.,2226, 72.294 ,Around form population modern lose ask.,2394,Randall
